Time,Position (x)
82.1833,2.00445
82.2,2.00211
82.2167,1.99951
82.2333,1.99665
82.25,1.99353
82.2667,1.99016
82.2833,1.98654
82.3,1.98268
82.3167,1.97859
82.3333,1.97426
82.35,1.96971
82.3667,1.96493
82.3833,1.95995
82.4,1.95476
82.4167,1.94937
82.4333,1.94379
82.45,1.93803
82.4667,1.9321
82.4833,1.92599
82.5,1.91973
82.5167,1.91332
82.5333,1.90677
82.55,1.90008
82.5667,1.89328
82.5833,1.88636
82.6,1.87934
82.6167,1.87222
82.6333,1.86502
82.65,1.85775
82.6667,1.85041
82.6833,1.84303
82.7,1.83559
82.7167,1.82813
82.7333,1.82064
82.75,1.81314
82.7667,1.80564
82.7833,1.79815
82.8,1.79067
82.8167,1.78323
82.8333,1.77583
82.85,1.76847
82.8667,1.76118
82.8833,1.75396
82.9,1.74682
82.9167,1.73977
82.9333,1.73282
82.95,1.72598
82.9667,1.71925
82.9833,1.71266
83,1.70621
83.0167,1.6999
83.0333,1.69375
83.05,1.68776
83.0667,1.68194
83.0833,1.67631
83.1,1.67086
83.1167,1.66561
83.1333,1.66056
83.15,1.65573
83.1667,1.65111
83.1833,1.64671
83.2,1.64254
83.2167,1.63861
83.2333,1.63492
83.25,1.63148
83.2667,1.62828
83.2833,1.62534
83.3,1.62266
83.3167,1.62024
83.3333,1.61809
83.35,1.61621
83.3667,1.6146
83.3833,1.61326
83.4,1.6122
83.4167,1.61142
83.4333,1.61091
83.45,1.61069
83.4667,1.61066
83.4833,1.61073
83.5,1.61091
83.5167,1.6112
83.5333,1.6116
83.55,1.6121
83.5667,1.61271
83.5833,1.61342
83.6,1.61424
83.6167,1.61516
83.6333,1.61618
83.65,1.6173
83.6667,1.61851
83.6833,1.61983
83.7,1.62124
83.7167,1.62274
83.7333,1.62433
83.75,1.62601
83.7667,1.62778
83.7833,1.62963
83.8,1.63156
83.8167,1.63357
83.8333,1.63566
83.85,1.63781
83.8667,1.64004
83.8833,1.64234
83.9,1.64469
83.9167,1.64711
83.9333,1.64959
83.95,1.65212
83.9667,1.65469
83.9833,1.65732
84,1.65998
84.0167,1.66269
84.0333,1.66543
84.05,1.6682
84.0667,1.671
84.0833,1.67383
84.1,1.67667
84.1167,1.67953
84.1333,1.6824
84.15,1.68528
84.1667,1.68816
84.1833,1.69104
84.2,1.69392
84.2167,1.69679
84.2333,1.69965
84.25,1.70249
84.2667,1.70531
84.2833,1.70811
84.3,1.71088
84.3167,1.71362
84.3333,1.71632
84.35,1.71898
84.3667,1.7216
84.3833,1.72417
84.4,1.7267
84.4167,1.72917
84.4333,1.73158
84.45,1.73393
84.4667,1.73622
84.4833,1.73844
84.5,1.74059
84.5167,1.74267
84.5333,1.74467
84.55,1.7466
84.5667,1.74844
84.5833,1.7502
84.6,1.75187
84.6167,1.75345
84.6333,1.75494
84.65,1.75634
84.6667,1.75765
84.6833,1.75886
84.7,1.75997
84.7167,1.76098
84.7333,1.76189
84.75,1.76269
84.7667,1.76339
84.7833,1.76399
84.8,1.76448
84.8167,1.76487
84.8333,1.76515
84.85,1.76532
84.8667,1.76539
84.8833,1.76539
84.9,1.76539
84.9167,1.76539
84.9333,1.76539
84.95,1.76539
84.9667,1.76539
84.9833,1.76539
85,1.76539
85.0167,1.76539
85.0333,1.76539
85.05,1.76539
85.0667,1.76539
85.0833,1.76539
85.1,1.76539
85.1167,1.76539
85.1333,1.76539
85.15,1.76539
