Time,Acceleration (x)
77.6667,3.25203
77.6833,3.29663
77.7,3.33665
77.7167,3.37204
77.7333,3.40274
77.75,3.42872
77.7667,3.44994
77.7833,3.46637
77.8,3.47799
77.8167,3.48477
77.8333,2.86727
77.85,2.86524
77.8667,2.85924
77.8833,2.84926
77.9,2.83534
77.9167,2.81747
77.9333,2.79569
77.95,2.77003
77.9667,2.74053
77.9833,2.70722
78,2.67015
78.0167,2.62937
78.0333,2.58495
78.05,2.53693
78.0667,2.4854
78.0833,2.43041
78.1,2.37205
78.1167,2.31039
78.1333,2.24553
78.15,2.17755
78.1667,2.10655
78.1833,2.03262
78.2,1.95588
78.2167,1.87641
78.2333,1.79434
78.25,1.70978
78.2667,1.62285
78.2833,1.53367
78.3,1.44236
78.3167,1.34905
78.3333,1.25386
78.35,1.15693
78.3667,1.05841
78.3833,0.958407
78.4,0.857077
78.4167,0.754559
78.4333,0.650997
78.45,0.54652
78.4667,0.441306
78.4833,0.335469
78.5,0.229168
78.5167,0.122545
78.5333,0.0157571
78.55,-0.091052
78.5667,-0.19774
78.5833,-0.304141
78.6,-0.41012
78.6167,-0.515535
78.6333,-0.620212
78.65,-0.72406
78.6667,-0.826871
78.6833,-0.928559
78.7,-1.02894
78.7167,-1.1279
78.7333,-1.22529
78.75,-1.32098
78.7667,-1.41483
78.7833,-1.50672
78.8,-1.59652
78.8167,-1.68408
78.8333,-1.76932
78.85,-1.8521
78.8667,-1.93231
78.8833,-2.00983
78.9,-2.08457
78.9167,-2.15641
78.9333,-2.22525
78.95,-2.29101
78.9667,-2.35358
78.9833,-2.41289
79,-2.46884
79.0167,-2.52137
79.0333,-2.57039
79.05,-2.61584
79.0667,-2.65767
79.0833,-2.69581
79.1,-2.7302
79.1167,-2.7608
79.1333,-2.78757
79.15,-2.81046
79.1667,-2.82946
79.1833,-2.84453
79.2,-2.85564
79.2167,-2.8628
79.2333,-2.30634
79.25,-2.24653
79.2667,-2.24339
79.2833,-2.23714
79.3,-2.22778
79.3167,-2.21532
79.3333,-2.1998
79.35,-2.18122
79.3667,-2.15961
79.3833,-2.135
79.4,-2.10742
79.4167,-2.07693
79.4333,-2.04354
79.45,-2.00732
79.4667,-1.96832
79.4833,-1.92658
79.5,-1.88217
79.5167,-1.83514
79.5333,-1.78557
79.55,-1.73351
79.5667,-1.67905
79.5833,-1.62226
79.6,-1.56322
79.6167,-1.50201
79.6333,-1.43872
79.65,-1.37342
79.6667,-1.30622
79.6833,-1.23721
79.7,-1.16647
79.7167,-1.09413
79.7333,-1.02026
79.75,-0.944982
79.7667,-0.868388
79.7833,-0.790586
79.8,-0.71169
79.8167,-0.631807
79.8333,-0.551044
79.85,-0.469522
79.8667,-0.387347
79.8833,-0.304635
79.9,-0.221493
79.9167,-0.138052
79.9333,-0.0544238
79.95,0.0292826
79.9667,0.112953
79.9833,0.196452
80,0.279683
80.0167,0.362531
80.0333,0.444864
80.05,0.526593
80.0667,0.607581
80.0833,0.687722
80.1,0.766919
80.1167,0.845039
80.1333,0.921986
80.15,0.997664
80.1667,1.07195
80.1833,1.14474
80.2,1.21595
80.2167,1.28546
80.2333,1.3532
80.25,1.41905
80.2667,1.48292
80.2833,1.54474
80.3,1.60442
80.3167,1.66187
80.3333,1.71701
80.35,1.76976
80.3667,1.82006
80.3833,1.86783
80.4,1.91301
80.4167,1.95553
80.4333,1.99534
80.45,2.03237
80.4667,2.06659
80.4833,2.09793
80.5,2.12636
80.5167,2.15184
80.5333,2.17433
80.55,2.1938
80.5667,2.21022
80.5833,2.22358
80.6,2.23385
80.6167,2.24102
80.6333,2.24507
80.65,1.62657
80.6667,1.62525
80.6833,1.62168
80.7,1.61586
80.7167,1.60779
80.7333,1.5975
80.75,1.58498
80.7667,1.57027
80.7833,1.55337
80.8,1.53432
80.8167,1.51313
80.8333,1.48985
80.85,1.46449
80.8667,1.43711
80.8833,1.40773
80.9,1.3764
80.9167,1.34315
80.9333,1.30804
80.95,1.27112
80.9667,1.23242
80.9833,1.19203
81,1.14997
81.0167,1.10632
81.0333,1.06113
81.05,1.01447
81.0667,0.966403
81.0833,0.916986
81.1,0.866311
81.1167,0.814426
81.1333,0.761408
81.15,0.707334
81.1667,0.652285
81.1833,0.596323
81.2,0.539535
81.2167,0.482004
81.2333,0.423803
81.25,0.365009
81.2667,0.305707
81.2833,0.245991
81.3,0.185924
81.3167,0.125602
81.3333,0.0651133
81.35,0.00453114
81.3667,-0.0560546
81.3833,-0.116569
81.4,-0.176922
81.4167,-0.237018
81.4333,-0.296795
81.45,-0.356151
81.4667,-0.415016
81.4833,-0.473306
81.5,-0.530934
81.5167,-0.587826
81.5333,-0.643905
81.55,-0.699084
81.5667,-0.753297
81.5833,-0.806462
81.6,-0.858504
81.6167,-0.909358
81.6333,-0.958947
81.65,-1.0072
81.6667,-1.05406
81.6833,-1.09945
81.7,-1.14332
81.7167,-1.1856
81.7333,-1.22624
81.75,-1.26517
81.7667,-1.30234
81.7833,-1.3377
81.8,-1.37121
