Time,Speed,Velocity (x)
78.0833,0.700308,0.700308
78.1,0.739843,0.739843
78.1167,0.778349,0.778349
78.1333,0.815775,0.815775
78.15,0.852067,0.852067
78.1667,0.887176,0.887176
78.1833,0.921053,0.921053
78.2,0.953651,0.953651
78.2167,0.984925,0.984925
78.2333,1.01483,1.01483
78.25,1.04333,1.04333
78.2667,1.07037,1.07037
78.2833,1.09594,1.09594
78.3,1.11997,1.11997
78.3167,1.14246,1.14246
78.3333,1.16336,1.16336
78.35,1.18264,1.18264
78.3667,1.20028,1.20028
78.3833,1.21625,1.21625
78.4,1.23054,1.23054
78.4167,1.24311,1.24311
78.4333,1.25396,1.25396
78.45,1.26307,1.26307
78.4667,1.27043,1.27043
78.4833,1.27602,1.27602
78.5,1.27984,1.27984
78.5167,1.28188,1.28188
78.5333,1.28214,1.28214
78.55,1.28062,1.28062
78.5667,1.27733,1.27733
78.5833,1.27226,1.27226
78.6,1.26542,1.26542
78.6167,1.25683,1.25683
78.6333,1.2465,1.2465
78.65,1.23443,1.23443
78.6667,1.22065,1.22065
78.6833,1.20517,1.20517
78.7,1.18802,1.18802
78.7167,1.16922,1.16922
78.7333,1.1488,1.1488
78.75,1.12679,1.12679
78.7667,1.10321,1.10321
78.7833,1.07809,1.07809
78.8,1.05148,1.05148
78.8167,1.02342,1.02342
78.8333,0.993928,0.993928
78.85,0.963059,0.963059
78.8667,0.930854,0.930854
78.8833,0.897357,0.897357
78.9,0.862614,0.862614
78.9167,0.826674,0.826674
78.9333,0.789587,0.789587
78.95,0.751403,0.751403
78.9667,0.712177,0.712177
78.9833,0.671962,0.671962
79,0.630815,0.630815
79.0167,0.588792,0.588792
79.0333,0.545952,0.545952
79.05,0.502355,0.502355
79.0667,0.45806,0.45806
79.0833,0.41313,0.41313
79.1,0.367626,0.367626
79.1167,0.321613,0.321613
79.1333,0.275154,0.275154
79.15,0.228313,0.228313
79.1667,0.181155,0.181155
79.1833,0.133746,0.133746
79.2,0.0861521,0.0861521
79.2167,0.0384389,0.0384389
79.2333,3.74254e-007,-2.01205e-007
79.25,0.0374423,-0.0374423
79.2667,0.0748321,-0.0748321
79.2833,0.112118,-0.112118
79.3,0.149247,-0.149247
79.3167,0.186169,-0.186169
79.3333,0.222833,-0.222833
79.35,0.259186,-0.259186
79.3667,0.29518,-0.29518
79.3833,0.330763,-0.330763
79.4,0.365887,-0.365887
79.4167,0.400502,-0.400502
79.4333,0.434561,-0.434561
79.45,0.468016,-0.468016
79.4667,0.500822,-0.500822
79.4833,0.532931,-0.532931
79.5,0.564301,-0.564301
79.5167,0.594887,-0.594887
79.5333,0.624646,-0.624646
79.55,0.653538,-0.653538
79.5667,0.681522,-0.681522
79.5833,0.70856,-0.70856
79.6,0.734613,-0.734613
79.6167,0.759647,-0.759647
79.6333,0.783625,-0.783625
79.65,0.806516,-0.806516
79.6667,0.828286,-0.828286
79.6833,0.848906,-0.848906
79.7,0.868348,-0.868348
79.7167,0.886583,-0.886583
79.7333,0.903587,-0.903587
79.75,0.919337,-0.919337
79.7667,0.93381,-0.93381
79.7833,0.946987,-0.946987
79.8,0.958848,-0.958848
79.8167,0.969378,-0.969378
79.8333,0.978562,-0.978562
79.85,0.986388,-0.986388
79.8667,0.992844,-0.992844
79.8833,0.997921,-0.997921
79.9,1.00161,-1.00161
79.9167,1.00391,-1.00391
79.9333,1.00482,-1.00482
79.95,1.00433,-1.00433
79.9667,1.00245,-1.00245
79.9833,0.999175,-0.999175
80,0.994514,-0.994514
80.0167,0.988472,-0.988472
80.0333,0.981057,-0.981057
80.05,0.972281,-0.972281
80.0667,0.962155,-0.962155
80.0833,0.950693,-0.950693
80.1,0.937911,-0.937911
80.1167,0.923827,-0.923827
80.1333,0.90846,-0.90846
80.15,0.891832,-0.891832
80.1667,0.873967,-0.873967
80.1833,0.854888,-0.854888
80.2,0.834622,-0.834622
80.2167,0.813197,-0.813197
80.2333,0.790644,-0.790644
80.25,0.766993,-0.766993
80.2667,0.742278,-0.742278
80.2833,0.716532,-0.716532
80.3,0.689792,-0.689792
80.3167,0.662094,-0.662094
80.3333,0.633477,-0.633477
80.35,0.603981,-0.603981
80.3667,0.573647,-0.573647
80.3833,0.542516,-0.542516
80.4,0.510633,-0.510633
80.4167,0.478041,-0.478041
80.4333,0.444785,-0.444785
80.45,0.410912,-0.410912
80.4667,0.376469,-0.376469
80.4833,0.341504,-0.341504
80.5,0.306064,-0.306064
80.5167,0.2702,-0.2702
80.5333,0.233961,-0.233961
80.55,0.197398,-0.197398
80.5667,0.160561,-0.160561
80.5833,0.123501,-0.123501
80.6,0.0862706,-0.0862706
80.6167,0.0489203,-0.0489203
80.6333,0.0115025,-0.0115025
80.65,0.015607,0.015607
80.6667,0.0426945,0.0426945
80.6833,0.0697225,0.0697225
80.7,0.0966535,0.0966535
80.7167,0.12345,0.12345
80.7333,0.150075,0.150075
80.75,0.176491,0.176491
80.7667,0.202662,0.202662
80.7833,0.228552,0.228552
80.8,0.254124,0.254124
80.8167,0.279343,0.279343
80.8333,0.304174,0.304174
80.85,0.328582,0.328582
80.8667,0.352534,0.352534
80.8833,0.375996,0.375996
80.9,0.398936,0.398936
80.9167,0.421322,0.421322
80.9333,0.443122,0.443122
80.95,0.464308,0.464308
80.9667,0.484848,0.484848
80.9833,0.504715,0.504715
81,0.523881,0.523881
81.0167,0.54232,0.54232
81.0333,0.560005,0.560005
81.05,0.576913,0.576913
81.0667,0.59302,0.59302
81.0833,0.608303,0.608303
81.1,0.622742,0.622742
81.1167,0.636315,0.636315
81.1333,0.649005,0.649005
81.15,0.660794,0.660794
81.1667,0.671666,0.671666
81.1833,0.681605,0.681605
81.2,0.690597,0.690597
81.2167,0.69863,0.69863
81.2333,0.705694,0.705694
81.25,0.711777,0.711777
81.2667,0.716872,0.716872
81.2833,0.720972,0.720972
81.3,0.724071,0.724071
81.3167,0.726164,0.726164
81.3333,0.727249,0.727249
81.35,0.727325,0.727325
81.3667,0.726391,0.726391
81.3833,0.724448,0.724448
81.4,0.721499,0.721499
81.4167,0.717549,0.717549
81.4333,0.712602,0.712602
81.45,0.706666,0.706666
81.4667,0.699749,0.699749
81.4833,0.691861,0.691861
81.5,0.683012,0.683012
81.5167,0.673215,0.673215
81.5333,0.662483,0.662483
81.55,0.650832,0.650832
81.5667,0.638277,0.638277
81.5833,0.624836,0.624836
81.6,0.610527,0.610527
81.6167,0.595371,0.595371
81.6333,0.579389,0.579389
81.65,0.562602,0.562602
81.6667,0.545035,0.545035
81.6833,0.526711,0.526711
81.7,0.507655,0.507655
81.7167,0.487895,0.487895
81.7333,0.467458,0.467458
81.75,0.446372,0.446372
81.7667,0.424666,0.424666
81.7833,0.402371,0.402371
81.8,0.379518,0.379518
81.8167,0.356137,0.356137
81.8333,0.332263,0.332263
81.85,0.307927,0.307927
81.8667,0.283164,0.283164
81.8833,0.258009,0.258009
81.9,0.232495,0.232495
81.9167,0.206658,0.206658
81.9333,0.180535,0.180535
81.95,0.154162,0.154162
81.9667,0.127575,0.127575
81.9833,0.10081,0.10081
82,0.0739064,0.0739064
82.0167,0.0469001,0.0469001
82.0333,0.0198289,0.0198289
82.05,3.38313e-007,-1.0784e-007
82.0667,0.0167746,-0.0167746
82.0833,0.0335256,-0.0335256
82.1,0.05023,-0.05023
82.1167,0.0668645,-0.0668645
82.1333,0.083406,-0.083406
82.15,0.0998316,-0.0998316
82.1667,0.116118,-0.116118
82.1833,0.132244,-0.132244
82.2,0.148186,-0.148186
